product_name,product_price,rate,review,summary,sentiment
Smartphone X,727.06,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,49.16,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,745.73,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,824.27,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Fitness Band,771.75,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Laptop Pro,35.36,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Bluetooth Speaker,320.06,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,769.3,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,398.36,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartphone X,118.48,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,554.09,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,50.02,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,194.74,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartphone X,989.72,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Mechanical Keyboard,673.37,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartwatch,347.85,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,527.33,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,787.35,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Laptop Pro,377.51,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Mechanical Keyboard,810.86,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,269.73,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Fitness Band,363.95,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,216.87,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Mechanical Keyboard,635.64,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Gaming Mouse,175.73,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Bluetooth Speaker,765.74,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,725.21,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,905.17,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
4K Monitor,108.0,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,989.9,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Fitness Band,263.58,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,918.88,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartphone X,176.78,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,363.99,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,173.47,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartphone X,583.51,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,71.71,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,95.59,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Gaming Mouse,642.02,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
4K Monitor,222.48,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Tablet Plus,881.33,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,999.59,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,873.3,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Laptop Pro,168.63,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartwatch,334.09,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,364.38,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,998.34,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Mechanical Keyboard,358.73,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Laptop Pro,783.31,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartwatch,272.62,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,658.17,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartwatch,394.34,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartwatch,186.15,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Mechanical Keyboard,471.27,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,454.79,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Fitness Band,458.86,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,273.25,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Tablet Plus,456.63,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Mechanical Keyboard,754.32,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartphone X,208.08,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Mechanical Keyboard,532.45,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,389.35,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Gaming Mouse,491.16,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Mechanical Keyboard,466.69,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartphone X,490.4,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,283.53,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,377.09,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,949.49,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Mechanical Keyboard,967.02,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Tablet Plus,989.48,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,955.59,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Mechanical Keyboard,251.51,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
4K Monitor,757.01,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Gaming Mouse,333.51,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Bluetooth Speaker,338.59,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,956.25,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Gaming Mouse,218.15,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,247.35,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Fitness Band,646.28,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Mechanical Keyboard,247.23,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Gaming Mouse,619.74,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Fitness Band,688.22,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Tablet Plus,904.39,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Tablet Plus,510.67,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,708.27,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Gaming Mouse,678.22,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Bluetooth Speaker,698.21,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Mechanical Keyboard,151.88,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Gaming Mouse,753.62,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Bluetooth Speaker,881.64,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Laptop Pro,682.51,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Tablet Plus,193.03,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Gaming Mouse,279.61,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
4K Monitor,268.02,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Mechanical Keyboard,374.01,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,211.92,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,265.13,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Fitness Band,61.19,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Mechanical Keyboard,986.3,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
4K Monitor,270.3,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Laptop Pro,144.12,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,922.74,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,545.32,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartwatch,976.74,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,896.57,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
4K Monitor,412.95,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,312.34,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Gaming Mouse,490.6,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,916.3,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartphone X,729.83,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Wireless Earbuds,701.99,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Laptop Pro,586.18,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Bluetooth Speaker,731.86,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,265.81,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,154.29,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,406.01,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,555.64,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,374.0,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Gaming Mouse,236.16,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,442.98,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,128.48,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Bluetooth Speaker,671.48,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
4K Monitor,192.78,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Fitness Band,966.89,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Smartwatch,832.3,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Fitness Band,795.7,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,424.01,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Gaming Mouse,202.3,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,661.1,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Bluetooth Speaker,623.23,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Gaming Mouse,569.92,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartwatch,191.0,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Tablet Plus,773.05,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
4K Monitor,73.29,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,297.38,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,831.14,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,778.33,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartwatch,931.14,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartwatch,176.56,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Wireless Earbuds,439.35,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,150.72,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Fitness Band,136.75,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
4K Monitor,897.18,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Mechanical Keyboard,736.0,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Fitness Band,735.42,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Gaming Mouse,893.98,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartwatch,37.69,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,249.25,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,937.65,5,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartphone X,866.99,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,521.82,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Laptop Pro,754.34,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,948.65,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Wireless Earbuds,521.92,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Smartwatch,756.97,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartwatch,219.44,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Fitness Band,235.99,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Smartphone X,747.71,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Tablet Plus,380.41,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,865.72,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Fitness Band,963.61,4,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Wireless Earbuds,109.79,4,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Laptop Pro,65.07,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Mechanical Keyboard,547.47,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Bluetooth Speaker,427.65,4,Great value for money. Performance is top-notch and very reliable.,"Great product, highly satisfied",positive
Laptop Pro,409.71,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Laptop Pro,391.85,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartphone X,713.93,5,I am very satisfied with this purchase. Highly recommended!,"Great product, highly satisfied",positive
Smartwatch,92.99,5,Works perfectly and the build quality is excellent.,"Great product, highly satisfied",positive
Tablet Plus,683.3,4,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Tablet Plus,718.31,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Fitness Band,734.2,5,Absolutely loved this product! It works flawlessly and exceeded my expectations.,"Great product, highly satisfied",positive
Mechanical Keyboard,281.18,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Smartphone X,183.86,5,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
Tablet Plus,581.68,4,Fantastic quality and design. Will definitely buy again.,"Great product, highly satisfied",positive
